id;Тема;Тип задачи;full_text;processed_text;target_encoded
8076;Оборудование - Шакиров Марсель Фаридович 7/28/25 ;Подзадача;Оборудование - Шакиров Марсель Фаридович 7/28/25 ;оборудование шакир марсель фаридович;12
8077;Календарь - Шакиров Марсель Фаридович;HR: Приём;Календарь - Шакиров Марсель Фаридович;календарь шакир марсель фаридович;1
8078;Бухгалтерия. Сформировать акт приема-передачи для Шакиров Марсель Фаридович , 7/28/25;Подзадача;Бухгалтерия. Сформировать акт приема-передачи для Шакиров Марсель Фаридович , 7/28/25;бухгалтерия сформировать акт приём передача шакир марсель фаридович;12
8079;АХО. Уведомление о выходе сотрудника Шакиров Марсель Фаридович , 7/28/25;Подзадача;АХО. Уведомление о выходе сотрудника Шакиров Марсель Фаридович , 7/28/25;ахо уведомление выход сотрудник шакир марсель фаридович;12
8080;Другие доступы - Шакиров Марсель Фаридович;Подзадача;Другие доступы - Шакиров Марсель Фаридович;другой доступ шакир марсель фаридович;12
8081;Вход в СЭД;Запрос на обслуживание;Вход в СЭД;вход сэд;6
8082;Заявка на VDI для нового сотрудника;Запрос на обслуживание;Заявка на VDI для нового сотрудника;заявка vdi новый сотрудник;6
8083;Прошу предоставить доступ к srv-term16;Запрос на обслуживание;Прошу предоставить доступ к srv-term16;просить предоставить доступ srv term;6
8084;Командировка ПУ № Л00000805 для Захаренко Юлия Александровна;Заявка на билет и проживание;Командировка ПУ № Л00000805 для Захаренко Юлия Александровна;командировка захаренко юлия александрович;7
8085;ДИТ. Добавить в группу рассылки;Подзадача;ДИТ. Добавить в группу рассылки;дит добавить группа рассылка;12
8086;[Выход] 28.07.2025 Шакиров Марсель Фаридович (Ижевск);Заявка на выход сотрудника;[Выход] 28.07.2025 Шакиров Марсель Фаридович (Ижевск);выход шакир марсель фаридович ижевск;8
8087;Гостевой пропуск для Смирнова Надежда Максимовна;Заказ гостевого пропуска;Гостевой пропуск для Смирнова Надежда Максимовна;гостевой пропуск смирнов надежда максимович;5
8088;Не сохраняется история сообщений в ktalk и не ведется телефонограмма;Запрос на обслуживание;Не сохраняется история сообщений в ktalk и не ведется телефонограмма;сохраняться история сообщение ktalk вестись телефонограмма;6
8089;? Problem: Unavailable by ICMP ping;Запрос на обслуживание;? Problem: Unavailable by ICMP ping;problem unavailable icmp ping;6
8090;Гостевой пропуск для Крылов Тимофей;Заказ гостевого пропуска;Гостевой пропуск для Крылов Тимофей;гостевой пропуск крылов тимофей;5
8091;ПУ_проблема с корректировкой БП 17790/1 11291.БФТ.Имущество.Тульская обл(Тула г);Запрос на обслуживание;ПУ_проблема с корректировкой БП 17790/1 11291.БФТ.Имущество.Тульская обл(Тула г);проблема корректировка бфт имущество тульский обл тула;6
8092;Командировка ПУ № Л00000803 для Лифанов Сергей Анатольевич;Заявка на билет и проживание;Командировка ПУ № Л00000803 для Лифанов Сергей Анатольевич;командировка лифанов сергей анатолиевич;7
8093;АСУО, Дотсуп новым сотрудникам;Запрос на обслуживание;АСУО, Дотсуп новым сотрудникам;асуо дотсуп новый сотрудник;6
8094;пу;Запрос на обслуживание;пу;;6
8095;Гостевой пропуск для Долгов Егор Анатольевич;Заказ гостевого пропуска;Гостевой пропуск для Долгов Егор Анатольевич;гостевой пропуск долг егор анатолиевич;5
8096;ДИТ L1.Переезд - Перемещение техники;Подзадача;ДИТ L1.Переезд - Перемещение техники;дит переезд перемещение техника;12
8097;ДИТ L1.Переезд - AD;Подзадача;ДИТ L1.Переезд - AD;дит переезд;12
8098;ДИТ L1.Переезд - Перенастройка телефонов;Подзадача;ДИТ L1.Переезд - Перенастройка телефонов;дит переезд перенастройка телефон;12
8099;ДИТ L1.Переезд - Сеть;Подзадача;ДИТ L1.Переезд - Сеть;дит переезд сеть;12
8100;Re: HELP Уведомление об истечении срока жизни ВМ;Запрос на обслуживание;Re: HELP Уведомление об истечении срока жизни ВМ;help уведомление истечение срок жизнь;6
8101;Переезд внутри Московского офиса Самойлов Никита Николаевич;Запрос на обслуживание;Переезд внутри Московского офиса Самойлов Никита Николаевич;переезд внутри московский офис самойлов никита николаевич;6
8102;доступ к папке регистрации АХО;Запрос на обслуживание;доступ к папке регистрации АХО;доступ папка регистрация ахо;6
8103;Задвоение трудозатрат;Запрос на обслуживание;Задвоение трудозатрат;задвоение трудозатрата;6
8104;Сменить пароль в УЗ Windows;Запрос на обслуживание;Сменить пароль в УЗ Windows;сменить пароль windows;6
8105;Перестало работать автозаполнение поля;Запрос на обслуживание;Перестало работать автозаполнение поля;перестать работать автозаполнение поле;6
8106;проблема с задачей https://jira.bftcom.com/browse/DPU-15388;Запрос на обслуживание;проблема с задачей https://jira.bftcom.com/browse/DPU-15388;проблема задача;6
8107;Установить КриптоПро CSP на рабочий ПК;Запрос на обслуживание;Установить КриптоПро CSP на рабочий ПК;установить криптопро csp рабочий;6
8108;Заблокировалась учетная запись;Запрос на обслуживание;Заблокировалась учетная запись;заблокироваться учётный запись;6
8109;Изменение замещающего по кадровому делопроизводству на корпоративном портале;Запрос на обслуживание;Изменение замещающего по кадровому делопроизводству на корпоративном портале;изменение замещать кадровый делопроизводство корпоративный портал;6
8110;Добавление прав ы JIRA;Запрос на обслуживание;Добавление прав ы JIRA;добавление право jira;6
8111;доступ в СЭД к документам Мамедовой Д.;Запрос на обслуживание;доступ в СЭД к документам Мамедовой Д.;доступ сэд документ мамедов;6
8112;ДИТ. Создание УЗ - Савчук Николай Витальевич;Подзадача;ДИТ. Создание УЗ - Савчук Николай Витальевич;дит создание савчук николай виталиевич;12
8113;Оборудование - Савчук Николай Витальевич 7/23/25 ;Подзадача;Оборудование - Савчук Николай Витальевич 7/23/25 ;оборудование савчук николай виталиевич;12
8114;Календарь - Савчук Николай Витальевич;HR: Приём;Календарь - Савчук Николай Витальевич;календарь савчук николай виталиевич;1
8115;Бухгалтерия. Сформировать акт приема-передачи для Савчук Николай Витальевич , 7/23/25;Подзадача;Бухгалтерия. Сформировать акт приема-передачи для Савчук Николай Витальевич , 7/23/25;бухгалтерия сформировать акт приём передача савчук николай виталиевич;12
8116;АХО. Уведомление о выходе сотрудника Савчук Николай Витальевич , 7/23/25;Подзадача;АХО. Уведомление о выходе сотрудника Савчук Николай Витальевич , 7/23/25;ахо уведомление выход сотрудник савчук николай виталиевич;12
8117;[Выход] 23.07.2025 Савчук Николай Витальевич (Тюмень);Заявка на выход сотрудника;[Выход] 23.07.2025 Савчук Николай Витальевич (Тюмень);выход савчук николай виталиевич тюмень;8
8118;Не могу посмотреть списания трудозатрат, которые были раньше в июле, например, с 01.07.2025;Запрос на обслуживание;Не могу посмотреть списания трудозатрат, которые были раньше в июле, например, с 01.07.2025;мочь посмотреть списание трудозатрата который ранний июль например;6
8119;[JSW] Создание поля на проекте JIRP;Запрос на обслуживание;[JSW] Создание поля на проекте JIRP;jsw создание поле проект jirp;6
8120;Перенос отпуска через Задачи ЛК;Запрос на обслуживание;Перенос отпуска через Задачи ЛК;перенос отпуск задача;6
8121;[JSD] Добавление полей на проектах JSD;Запрос на обслуживание;[JSD] Добавление полей на проектах JSD;jsd добавление поле проект jsd;6
8122;ДИТ. Создание УЗ - Салтыкова Наталья Анатольевна;Подзадача;ДИТ. Создание УЗ - Салтыкова Наталья Анатольевна;дит создание салтыков наталья анатолиевич;12
8123;Оборудование - Салтыкова Наталья Анатольевна 7/28/25 ;Подзадача;Оборудование - Салтыкова Наталья Анатольевна 7/28/25 ;оборудование салтыков наталья анатолиевич;12
8124;Календарь - Салтыкова Наталья Анатольевна;HR: Приём;Календарь - Салтыкова Наталья Анатольевна;календарь салтыков наталья анатолиевич;1
8125;Бухгалтерия. Сформировать акт приема-передачи для Салтыкова Наталья Анатольевна , 7/28/25;Подзадача;Бухгалтерия. Сформировать акт приема-передачи для Салтыкова Наталья Анатольевна , 7/28/25;бухгалтерия сформировать акт приём передача салтыков наталья анатолиевич;12
8126;АХО. Уведомление о выходе сотрудника Салтыкова Наталья Анатольевна , 7/28/25;Подзадача;АХО. Уведомление о выходе сотрудника Салтыкова Наталья Анатольевна , 7/28/25;ахо уведомление выход сотрудник салтыков наталья анатолиевич;12
8127;[Выход] 28.07.2025 Салтыкова Наталья Анатольевна (Краснодарский край, Ейский р-н, станица Должанская);Заявка на выход сотрудника;[Выход] 28.07.2025 Салтыкова Наталья Анатольевна (Краснодарский край, Ейский р-н, станица Должанская);выход салтыков наталья анатолиевич краснодарский край ейский станица должанский;8
8128;Добавление сотрудника в группу рассылки;Запрос на обслуживание;Добавление сотрудника в группу рассылки;добавление сотрудник группа рассылка;6
8129;регистрация новых пользователей в https://sd.bftcom.com _Калининград_проект 11401_Соловьева 1;Запрос на обслуживание;регистрация новых пользователей в https://sd.bftcom.com _Калининград_проект 11401_Соловьева 1;регистрация новый пользователь калининград проект соловьёв;6
8130;Установить сертификаты шифрования Outlook;Запрос на обслуживание;Установить сертификаты шифрования Outlook;установить сертификат шифрование outlook;6
8131;Установить программы на комп;Запрос на обслуживание;Установить программы на комп;установить программа комп;6
8132;jira.bftcom.com  - по проектам Росреестра запретить создание задач без ссылки на бюджет, наследовать ссылку на бюджет из эпика;Запрос на обслуживание;jira.bftcom.com  - по проектам Росреестра запретить создание задач без ссылки на бюджет, наследовать ссылку на бюджет из эпика;jira bftcom com проект росреестр запретить создание задача ссылка бюджет наследовать ссылка бюджет эпик;6
8133;ДИТ. Создание УЗ - Зоткин Дмитрий Алексеевич;Подзадача;ДИТ. Создание УЗ - Зоткин Дмитрий Алексеевич;дит создание зоткина дмитрий алексеевич;12
8134;Оборудование - Зоткин Дмитрий Алексеевич 7/28/25 ;Подзадача;Оборудование - Зоткин Дмитрий Алексеевич 7/28/25 ;оборудование зоткина дмитрий алексеевич;12
8135;Календарь - Зоткин Дмитрий Алексеевич;HR: Приём;Календарь - Зоткин Дмитрий Алексеевич;календарь зоткина дмитрий алексеевич;1
8136;Бухгалтерия. Сформировать акт приема-передачи для Зоткин Дмитрий Алексеевич , 7/28/25;Подзадача;Бухгалтерия. Сформировать акт приема-передачи для Зоткин Дмитрий Алексеевич , 7/28/25;бухгалтерия сформировать акт приём передача зоткина дмитрий алексеевич;12
8137;АХО. Уведомление о выходе сотрудника Зоткин Дмитрий Алексеевич , 7/28/25;Подзадача;АХО. Уведомление о выходе сотрудника Зоткин Дмитрий Алексеевич , 7/28/25;ахо уведомление выход сотрудник зоткина дмитрий алексеевич;12
8138;Другие доступы - Зоткин Дмитрий Алексеевич;Подзадача;Другие доступы - Зоткин Дмитрий Алексеевич;другой доступ зоткина дмитрий алексеевич;12
8139;Предоставить права доступа;Запрос на обслуживание;Предоставить права доступа;предоставить право доступ;6
8140;"Информация о проведении плановых работ на сети ООО ""Манго Телеком"" 23.07.2025 ";Запрос на обслуживание;"Информация о проведении плановых работ на сети ООО ""Манго Телеком"" 23.07.2025 ";информация проведение плановый работа сеть ооо манго телек;6
8141;ДИТ. Добавить в группу рассылки;Подзадача;ДИТ. Добавить в группу рассылки;дит добавить группа рассылка;12
8142;[Выход] 28.07.2025 Зоткин Дмитрий Алексеевич (Самара);Заявка на выход сотрудника;[Выход] 28.07.2025 Зоткин Дмитрий Алексеевич (Самара);выход зоткина дмитрий алексеевич самара;8
8143;Портал ЛК: задача на утверждение отпуска - указать отдел и должность сотрудника;Запрос на обслуживание;Портал ЛК: задача на утверждение отпуска - указать отдел и должность сотрудника;портал задача утверждение отпуск указать отдел должность сотрудник;6
8144;Поднять сервер srv-dsud-sp3 ;Запрос на обслуживание;Поднять сервер srv-dsud-sp3 ;поднять сервер srv dsud;6
8145;Проблема с подписью документа hr-LInk;Запрос на обслуживание;Проблема с подписью документа hr-LInk;проблема подпись документ link;6
8146;Подписание документа на отпуск;Запрос на обслуживание;Подписание документа на отпуск;подписание документ отпуск;6
8147;Создание ВМ для EO-110373;Запрос на обслуживание;Создание ВМ для EO-110373;создание;6
8148;Отличаются списанные часы в ПУ от jira sw (ПЕРЕДАНО НА Л2);Запрос на обслуживание;Отличаются списанные часы в ПУ от jira sw (ПЕРЕДАНО НА Л2);отличаться списать часы jira передать;6
8149;confluence;Запрос на обслуживание;confluence;confluence;6
8150;Настройка шифрования в почте;Запрос на обслуживание;Настройка шифрования в почте;настройка шифрование почта;6
8151;Обнаружено потенциально вредоносное ПО, по письму от Гордеева Н.А.;Запрос на обслуживание;Обнаружено потенциально вредоносное ПО, по письму от Гордеева Н.А.;обнаружить потенциально вредоносный письмо гордеев;6
8152;Статус работы Чавшино Д.Д.;Запрос на обслуживание;Статус работы Чавшино Д.Д.;статус работа чавшиный;6
8153;Гостевой пропуск для  Махмутова Анастасия Игоревна;Заказ гостевого пропуска;Гостевой пропуск для  Махмутова Анастасия Игоревна;гостевой пропуск махмутов анастасия игоревич;5
8154;FW: ошибка выгрузки документов из ПУ в БП3 Суперкод;Запрос на обслуживание;FW: ошибка выгрузки документов из ПУ в БП3 Суперкод;ошибка выгрузка документ суперкод;6
8155;Замена ПК на ноутбук;Запрос на обслуживание;Замена ПК на ноутбук;замена ноутбук;6
8156;ошибка выгрузки документов из ПУ в БП3 Суперкод;Запрос на обслуживание;ошибка выгрузки документов из ПУ в БП3 Суперкод;ошибка выгрузка документ суперкод;6
8157;перенос отпуска ;Запрос на обслуживание;перенос отпуска ;перенос отпуск;6
8158;Просьба помочь подтвердить мой отпуск;Запрос на обслуживание;Просьба помочь подтвердить мой отпуск;просьба помочь подтвердить отпуск;6
8159;сертификат шифрования BFT\d.pastukhov истечет 02-Aug-25.;Подзадача;сертификат шифрования BFT\d.pastukhov истечет 02-Aug-25.;сертификат шифрование bft pastukhov истечь aug;12
8160;СФР;Запрос на обслуживание;СФР;сфр;6
8161;Согласование ВМ: srv-ice-tmc-d9;Заявка на согласование ВМ;Согласование ВМ: srv-ice-tmc-d9;согласование srv ice tmc;9
8162;Добавить наблюдателя в задачи;Запрос на обслуживание;Добавить наблюдателя в задачи;добавить наблюдатель задача;6
8163;Проблема с оборудованием;Запрос на обслуживание;Проблема с оборудованием;проблема оборудование;6
8164;!Радаев Замена ноутбука в ПД;Запрос на обслуживание;!Радаев Замена ноутбука в ПД;радаев замена ноутбук;6
8165;Стенд 1С;Запрос на обслуживание;Стенд 1С;стенд;6
8166;Савина Наталья Петровна доступ jira: календарь выходы/увольнения;Запрос на обслуживание;Савина Наталья Петровна доступ jira: календарь выходы/увольнения;савин наталья петрович доступ jira календарь выход увольнение;6
8167;1С проектный учет не пускает;Запрос на обслуживание;1С проектный учет не пускает;проектный учёт пускать;6
8168;Доступ в проект RRSYS;Запрос на обслуживание;Доступ в проект RRSYS;доступ проект rrsys;6
8169;Не запускается синхронизация Структуры JIRA SW;Запрос на обслуживание;Не запускается синхронизация Структуры JIRA SW;запускаться синхронизация структура jira;6
8170;ДФ. Проверить расходы на мобильную связь - Нугманов Руслан Асхарович;Подзадача увольнение;ДФ. Проверить расходы на мобильную связь - Нугманов Руслан Асхарович;проверить расход мобильный связь нугмановый руслан асхарович;14
8171;ДФ. Проверить незакрытые командировочные расходы - Нугманов Руслан Асхарович;Подзадача увольнение;ДФ. Проверить незакрытые командировочные расходы - Нугманов Руслан Асхарович;проверить незакрытый командировочный расход нугмановый руслан асхарович;14
8172;ДРК. Проверить выпущенные доверенности - Нугманов Руслан Асхарович;Подзадача увольнение;ДРК. Проверить выпущенные доверенности - Нугманов Руслан Асхарович;дрк проверить выпустить доверенность нугмановый руслан асхарович;14
8173;ПД. Проверить выпущенные доверенности - Нугманов Руслан Асхарович;Подзадача увольнение;ПД. Проверить выпущенные доверенности - Нугманов Руслан Асхарович;проверить выпустить доверенность нугмановый руслан асхарович;14
8174;ЮУ. Проверить выпущенные доверенности - Нугманов Руслан Асхарович;Подзадача увольнение;ЮУ. Проверить выпущенные доверенности - Нугманов Руслан Асхарович;проверить выпустить доверенность нугмановый руслан асхарович;14
8175;АХО. Разобрать рабочее место - Нугманов Руслан Асхарович;Подзадача увольнение;АХО. Разобрать рабочее место - Нугманов Руслан Асхарович;ахо разобрать рабочий место нугмановый руслан асхарович;14
8176;АХО. Моб. связь, парковочный талон - Нугманов Руслан Асхарович;Подзадача увольнение;АХО. Моб. связь, парковочный талон - Нугманов Руслан Асхарович;ахо моб связь парковочный талон нугмановый руслан асхарович;14
8177;АХО. Уведомление об увольнении - Нугманов Руслан Асхарович;Подзадача увольнение;АХО. Уведомление об увольнении - Нугманов Руслан Асхарович;ахо уведомление увольнение нугмановый руслан асхарович;14
8178;ДИТ L2. Наличие ВМ, облака и сетевых папок за сотрудником - Нугманов Руслан Асхарович, БФТ;Подзадача увольнение;ДИТ L2. Наличие ВМ, облака и сетевых папок за сотрудником - Нугманов Руслан Асхарович, БФТ;дит наличие облако сетевой папка сотрудник нугмановый руслан асхарович бфт;14
8179;ДИТ L2. VPN - Нугманов Руслан Асхарович, БФТ;Подзадача увольнение;ДИТ L2. VPN - Нугманов Руслан Асхарович, БФТ;дит vpn нугмановый руслан асхарович бфт;14
8180;ДИТ. Отключение УЗ - Нугманов Руслан Асхарович, БФТ;Подзадача увольнение;ДИТ. Отключение УЗ - Нугманов Руслан Асхарович, БФТ;дит отключение нугмановый руслан асхарович бфт;14
8181;HR. Бронирование - Нугманов Руслан Асхарович;Подзадача увольнение;HR. Бронирование - Нугманов Руслан Асхарович;бронирование нугмановый руслан асхарович;14
8182;HR. ДМС - Нугманов Руслан Асхарович;Подзадача увольнение;HR. ДМС - Нугманов Руслан Асхарович;дмс нугмановый руслан асхарович;14
8183;HR. Долги по обучению, аккаунт BFTraining - Нугманов Руслан Асхарович;Подзадача увольнение;HR. Долги по обучению, аккаунт BFTraining - Нугманов Руслан Асхарович;долг обучение аккаунт bftraining нугмановый руслан асхарович;14
8184;ДТиОР. Передать списки во FriendWork - Нугманов Руслан Асхарович;Подзадача увольнение;ДТиОР. Передать списки во FriendWork - Нугманов Руслан Асхарович;дтиор передать список friendwork нугмановый руслан асхарович;14
8185;ДТиОР. Установить замещение в СЭД - Нугманов Руслан Асхарович;Подзадача увольнение;ДТиОР. Установить замещение в СЭД - Нугманов Руслан Асхарович;дтиор установить замещение сэд нугмановый руслан асхарович;14
8186;Служба безопасности. Увольнение - Нугманов Руслан Асхарович;Подзадача увольнение;Служба безопасности. Увольнение - Нугманов Руслан Асхарович;служба безопасность увольнение нугмановый руслан асхарович;14
8187;ФинДеп. Уволить в ПУ - Нугманов Руслан Асхарович;Подзадача увольнение;ФинДеп. Уволить в ПУ - Нугманов Руслан Асхарович;финдеп уволить нугмановый руслан асхарович;14
8188;Бухгалтерия. Акт возврата - Нугманов Руслан Асхарович;Подзадача увольнение;Бухгалтерия. Акт возврата - Нугманов Руслан Асхарович;бухгалтерия акт возврат нугмановый руслан асхарович;14
8189;Оборудование - Нугманов Руслан Асхарович, БФТ;Подзадача основные средства;Оборудование - Нугманов Руслан Асхарович, БФТ;оборудование нугмановый руслан асхарович бфт;13
8190;Создание ВМ;Запрос на обслуживание;Создание ВМ;создание;6
8191;Увольнение Нугманов Руслан Асхарович  . БФТ;HR: Увольнение;Увольнение Нугманов Руслан Асхарович  . БФТ;увольнение нугмановый руслан асхарович бфт;3
8192;L1: Запрос техники для СПб;Запрос на обслуживание;L1: Запрос техники для СПб;запрос техника спб;6
8193;Шифратор;Запрос на обслуживание;Шифратор;шифратор;6
8194;Установить ПО;Запрос на обслуживание;Установить ПО;установить;6
8195;Установка Avanpost Authenticator на мобильное устройство для получения доступа.;Запрос на обслуживание;Установка Avanpost Authenticator на мобильное устройство для получения доступа.;установка avanpost authenticator мобильный устройство получение доступ;6
8196;У Даниила Харькина закончилось время действия пароля учетной записи, прошу помочь;Запрос на обслуживание;У Даниила Харькина закончилось время действия пароля учетной записи, прошу помочь;даниил харькина закончиться время действие пароль учётный запись просить помочь;6
8197;Выдача техники для Нашатыр Виктория Алексеевна;Запрос на обслуживание;Выдача техники для Нашатыр Виктория Алексеевна;выдача техника нашатыр виктория алексеевич;6
8198;Гостевой пропуск для Крылов Тимофей Витальевич;Заказ гостевого пропуска;Гостевой пропуск для Крылов Тимофей Витальевич;гостевой пропуск крылов тимофей виталиевич;5
8199;Выгрузка впн;Запрос на обслуживание;Выгрузка впн;выгрузка впн;6
8200;Зарплатный проект;Запрос на обслуживание;Зарплатный проект;зарплатный проект;6
8201;Выдача техники для Иващенко Ирина Игоревна;Запрос на обслуживание;Выдача техники для Иващенко Ирина Игоревна;выдача техника иващенко ирина игоревич;6
8202;вход в RM;Запрос на обслуживание;вход в RM;вход;6
8203;Заказать 2 брошюратора для ДРК.;Запрос на обслуживание;Заказать 2 брошюратора для ДРК.;заказать брошюратор дрк;6
8204;Re:  Информационное письмо - требования по подключению к VPN;Запрос на обслуживание;Re:  Информационное письмо - требования по подключению к VPN;информационный письмо требование подключение vpn;6
8205;Срок действия пароля истек;Запрос на обслуживание;Срок действия пароля истек;срок действие пароль истечь;6
8206;Отсутствует доступ к корпоративным ресурсам;Запрос на обслуживание;Отсутствует доступ к корпоративным ресурсам;отсутствовать доступ корпоративный ресурс;6
8207;[JSD] Создание нового поля на проектах;Запрос на обслуживание;[JSD] Создание нового поля на проектах;jsd создание новый поле проект;6
8208;Не работает вход под учёткой j.sborshchik@bftcom.com;Запрос на обслуживание;Не работает вход под учёткой j.sborshchik@bftcom.com;работать вход учёткий;6
8209;ПУ_доступ к Монитору событий;Запрос на обслуживание;ПУ_доступ к Монитору событий;доступ монитор событие;6
8210;подключение к \\MSK-CR-000705\Users\t.shishmakova\shared;Запрос на обслуживание;подключение к \\MSK-CR-000705\Users\t.shishmakova\shared;подключение msk users shishmakova shared;6
8211;Командировка ПУ № Л00000806 для Васенина Анна Олеговна;Заявка на билет и проживание;Командировка ПУ № Л00000806 для Васенина Анна Олеговна;командировка васенин анна олегович;7
8212;Проблемы с рабочей машиной;Запрос на обслуживание;Проблемы с рабочей машиной;проблема рабочий машина;6
8213;Срок действия моего пароля истёк сегодня. Учётную запись заблокировали. Помогите решить эту проблему;Запрос на обслуживание;Срок действия моего пароля истёк сегодня. Учётную запись заблокировали. Помогите решить эту проблему;срок действие мой пароль истечь сегодня учётный запись заблокировать помочь решить проблема;6
8214;Подключить доступ к эл почте на время отпуска сотрудника.;Запрос на обслуживание;Подключить доступ к эл почте на время отпуска сотрудника.;подключить доступ почта время отпуск сотрудник;6
8215;стенд 1С;Запрос на обслуживание;стенд 1С;стенд;6
8216;Переасация копий всех входящих писем, адресованных Гараевой Альбине, на Салахова;Запрос на обслуживание;Переасация копий всех входящих писем, адресованных Гараевой Альбине, на Салахова;переасация копия входящий письмо адресовать гараев альбин салахов;6
8217;Проблема при смене пароля;Запрос на обслуживание;Проблема при смене пароля;проблема смена пароль;6
8218;ДМС;Запрос на обслуживание;ДМС;дмс;6
8219;Предоставление права доступа;Запрос на обслуживание;Предоставление права доступа;предоставление право доступ;6
8220;Гостевой пропуск для Зиновьева Наталья Евгеньевна;Заказ гостевого пропуска;Гостевой пропуск для Зиновьева Наталья Евгеньевна;гостевой пропуск зиновьев наталья евгениевич;5
8221;не удается подключиться к циско;Запрос на обслуживание;не удается подключиться к циско;удаваться подключиться циско;6
8222;Проблемы с входом в учетную запись ;Запрос на обслуживание;Проблемы с входом в учетную запись ;проблема вход учётный запись;6
8223;Пропал доступ к Jira УЦП, логин e.lebedeva;Запрос на обслуживание;Пропал доступ к Jira УЦП, логин e.lebedeva;пропасть доступ jira уцп логин lebedeva;6
8224;"Кадровые изменения ООО ""БФТ-Разработка"" за прошлую неделю от 21.07.2025";Запрос на обслуживание;"Кадровые изменения ООО ""БФТ-Разработка"" за прошлую неделю от 21.07.2025";кадровый изменение ооо бфт разработка прошлый неделя;6
8225;"Кадровые изменения ООО ""БФТ"" за прошлую неделю от 21.07.2025";Запрос на обслуживание;"Кадровые изменения ООО ""БФТ"" за прошлую неделю от 21.07.2025";кадровый изменение ооо бфт прошлый неделя;6
8226;В АСУО отражается перенесённый отпуск;Запрос на обслуживание;В АСУО отражается перенесённый отпуск;асуо отражаться перенести отпуск;6
8227;Часы в джира отличаются от ПУ (ПЕРЕДАНО НА Л2);Запрос на обслуживание;Часы в джира отличаются от ПУ (ПЕРЕДАНО НА Л2);часы джир отличаться передать;6
8228;помощь со входом в корпоративные сервисы;Запрос на обслуживание;помощь со входом в корпоративные сервисы;помощь вход корпоративный сервис;6
8229;Доступ к страницам  confluence проекта НСПД;Запрос на обслуживание;Доступ к страницам  confluence проекта НСПД;доступ страница confluence проект нспд;6
8230;Доступ confluence НСПД;Запрос на обслуживание;Доступ confluence НСПД;доступ confluence нспд;6
8231;Бухгалтерия. Изменение даты увольнения Козляковская Ольга Степановна;Подзадача увольнение;Бухгалтерия. Изменение даты увольнения Козляковская Ольга Степановна;бухгалтерия изменение дата увольнение козляковский ольга степанович;14
8232;RE:Подтвердить отпуск по графику;Запрос на обслуживание;RE:Подтвердить отпуск по графику;подтвердить отпуск график;6
8233;сброс пароля;Запрос на обслуживание;сброс пароля;сброс пароль;6
8234;не могу подключится к CISCO;Запрос на обслуживание;не могу подключится к CISCO;мочь подключиться cisco;6
8235;(no subject);Запрос на обслуживание;(no subject);subject;6
8236;УЗ заблокирована, требуется смена пароля.;Запрос на обслуживание;УЗ заблокирована, требуется смена пароля.;заблокировать требоваться смена пароль;6
8237;сброс пароля;Запрос на обслуживание;сброс пароля;сброс пароль;6
8238;Восстановление доступа. ;Запрос на обслуживание;Восстановление доступа. ;восстановление доступ;6
8239;Пароль cisco;Запрос на обслуживание;Пароль cisco;пароль cisco;6
